DataSet,J48 Unpruned,J48,Random Forest,Naive Bayes
J48 Unpruned,51.02461491996377
J48,50.66143159166415
Random Forest,50.90833585019631
Naive Bayes,51.85140440954394
J48 Unpruned,50.33222591362125
J48,50.71957112654788
Random Forest,50.293717909996985
Naive Bayes,51.40893989731199
J48 Unpruned,51.39307427967222
J48,51.06982364714323
Random Forest,51.08266304142592
Naive Bayes,51.30319851969336
J48 Unpruned,50.40265921281257
J48,50.64667220669336
Random Forest,50.20095187731359
Naive Bayes,51.555488403716836
J48 Unpruned,51.0348736162013
J48,51.74670344202213
Random Forest,51.808667397136055
Naive Bayes,51.32353496807346
J48 Unpruned,51.077097505668945
J48,51.315948601662875
Random Forest,51.58503401360545
Naive Bayes,51.44066515495088
J48 Unpruned,50.43889161909802
J48,50.170491059615166
Random Forest,50.47367028314367
Naive Bayes,51.28870071447472
J48 Unpruned,50.10285109279287
J48,50.24578386145353
Random Forest,50.97330409135597
Naive Bayes,51.107161763593744
J48 Unpruned,50.11611634328077
J48,49.907333862854124
Random Forest,50.29388403494837
Naive Bayes,51.04504708952684
J48 Unpruned,50.542524213075055
J48,50.1672215496368
Random Forest,50.672669491525426
Naive Bayes,51.44673123486683
J48 Unpruned,50.34323557237465
J48,50.217596972563875
Random Forest,50.49990539262061
Naive Bayes,51.47171239356669
J48 Unpruned,50.2278749337573
J48,49.9863729275494
Random Forest,50.5844499962147
Naive Bayes,51.33621015973957
J48 Unpruned,50.10790958312824
J48,50.138199992427396
Random Forest,49.92465260686835
Naive Bayes,51.07341637953884
J48 Unpruned,49.828056355097715
J48,49.82805635509772
Random Forest,50.02348129071353
Naive Bayes,51.348280563550986
J48 Unpruned,49.85263476910254
J48,49.8996098041444
Random Forest,50.25116490510285
