DataSet,Algorithm,Corrects(%),[P]T+,[I]T+,[N]T+,[P]T-,[I]T-,[N]T-
VALE5(1),J48 Unpruned,51.34570159393781,0.5295950155763239,0.0,0.5086114101184069,0.5102577590741715,1.0,0.5271711528694769
VALE5(1),J48 Unpruned,51.37183172197544,0.5254413291796469,0.0,0.5134553283100107,0.5149921094160967,1.0,0.5231081767394616
VALE5(1),J48 Unpruned,51.45022210608832,0.5280373831775701,0.0,0.5123789020452099,0.5139400315623356,1.0,0.5256475368207212
VALE5(1),J48 Unpruned,51.39796185001307,0.5295950155763239,0.0,0.5096878363832078,0.5113098369279326,1.0,0.5271711528694769
VALE5(1),J48 Unpruned,51.42409197805069,0.5306334371754933,0.0,0.5091496232508074,0.5107837980010521,1.0,0.5281868969019807
VALE5(1),J48 Unpruned,51.34570159393781,0.5275181723779855,0.0,0.5107642626480086,0.5123619147816938,1.0,0.5251396648044693
VALE5(1),J48 Unpruned,51.267311209824925,0.5285565939771547,0.0,0.5080731969860065,0.5097317201472908,1.0,0.5261554088369731
VALE5(1),J48 Unpruned,51.45022210608832,0.5264797507788161,0.0,0.5139935414424112,0.5155181483429774,1.0,0.5241239207719655
VALE5(1),J48 Unpruned,51.45022210608832,0.5290758047767393,0.0,0.511302475780409,0.5128879537085744,1.0,0.526663280853225
VALE5(1),J48 Unpruned,51.42409197805069,0.5285565939771547,0.0,0.511302475780409,0.5128879537085744,1.0,0.5261554088369731
VALE5(1),J48 Unpruned,51.45022210608832,0.5269989615784009,0.0,0.5134553283100107,0.5149921094160967,1.0,0.5246317927882174
VALE5(1),J48 Unpruned,51.31957146590018,0.5295950155763239,0.0,0.5080731969860065,0.5097317201472908,1.0,0.5271711528694769
VALE5(1),J48 Unpruned,51.37183172197544,0.5301142263759087,0.0,0.5086114101184069,0.5102577590741715,1.0,0.5276790248857288
VALE5(1),J48 Unpruned,51.34570159393781,0.5290758047767393,0.0,0.5091496232508074,0.5107837980010521,1.0,0.526663280853225
VALE5(1),J48 Unpruned,51.34570159393781,0.5280373831775701,0.0,0.5102260495156081,0.5118358758548133,1.0,0.5256475368207212
VALE5(1),J48 Unpruned,51.42409197805069,0.5259605399792315,0.0,0.5139935414424112,0.5155181483429774,1.0,0.5236160487557135
VALE5(1),J48 Unpruned,51.39796185001307,0.5285565939771547,0.0,0.5107642626480086,0.5123619147816938,1.0,0.5261554088369731
VALE5(1),J48 Unpruned,51.39796185001307,0.5275181723779855,0.0,0.5118406889128094,0.5134139926354551,1.0,0.5251396648044693
VALE5(1),J48 Unpruned,51.31957146590018,0.5290758047767393,0.0,0.5086114101184069,0.5102577590741715,1.0,0.526663280853225
VALE5(1),J48 Unpruned,51.37183172197544,0.5280373831775701,0.0,0.5107642626480086,0.5123619147816938,1.0,0.5256475368207212
VALE5(1),J48 Unpruned,51.39796185001307,0.5295950155763239,0.0,0.5096878363832078,0.5113098369279326,1.0,0.5271711528694769
VALE5(1),J48 Unpruned,51.34570159393781,0.5290758047767393,0.0,0.5091496232508074,0.5107837980010521,1.0,0.526663280853225
VALE5(1),J48 Unpruned,51.45022210608832,0.5290758047767393,0.0,0.511302475780409,0.5128879537085744,1.0,0.526663280853225
VALE5(1),J48 Unpruned,51.42409197805069,0.5259605399792315,0.0,0.5139935414424112,0.5155181483429774,1.0,0.5236160487557135
VALE5(1),J48 Unpruned,51.37183172197544,0.5264797507788161,0.0,0.5123789020452099,0.5139400315623356,1.0,0.5241239207719655
VALE5(1),J48 Unpruned,51.37183172197544,0.5269989615784009,0.0,0.5118406889128094,0.5134139926354551,1.0,0.5246317927882174
VALE5(1),J48 Unpruned,51.39796185001307,0.5269989615784009,0.0,0.5123789020452099,0.5139400315623356,1.0,0.5246317927882174
VALE5(1),J48 Unpruned,51.34570159393781,0.5290758047767393,0.0,0.5091496232508074,0.5107837980010521,1.0,0.526663280853225
VALE5(1),J48 Unpruned,51.42409197805069,0.5275181723779855,0.0,0.5123789020452099,0.5139400315623356,1.0,0.5251396648044693
VALE5(1),J48 Unpruned,51.37183172197544,0.5264797507788161,0.0,0.5123789020452099,0.5139400315623356,1.0,0.5241239207719655
VALE5(1),J48 Unpruned,51.37183172197544,0.5285565939771547,0.0,0.5102260495156081,0.5118358758548133,1.0,0.5261554088369731
VALE5(1),J48 Unpruned,51.37183172197544,0.5280373831775701,0.0,0.5107642626480086,0.5123619147816938,1.0,0.5256475368207212
VALE5(1),J48 Unpruned,51.37183172197544,0.5295950155763239,0.0,0.5091496232508074,0.5107837980010521,1.0,0.5271711528694769
VALE5(1),J48 Unpruned,51.37183172197544,0.5275181723779855,0.0,0.511302475780409,0.5128879537085744,1.0,0.5251396648044693
VALE5(1),J48 Unpruned,51.34570159393781,0.5306334371754933,0.0,0.5075349838536061,0.5092056812204103,1.0,0.5281868969019807
VALE5(1),J48,51.45022210608832,0.5264797507788161,0.0,0.5139935414424112,0.5155181483429774,1.0,0.5241239207719655
VALE5(1),J48,51.34570159393781,0.5269989615784009,0.0,0.511302475780409,0.5128879537085744,1.0,0.5246317927882174
VALE5(1),J48,51.47635223412595,0.5275181723779855,0.0,0.5134553283100107,0.5149921094160967,1.0,0.5251396648044693
VALE5(1),J48,51.39796185001307,0.5269989615784009,0.0,0.5123789020452099,0.5139400315623356,1.0,0.5246317927882174
